CO_CURSO,QE_I69,QE_I70,QE_I71,QE_I72,QE_I73,QE_I74,QE_I75,QE_I76,QE_I77,QE_I78,QE_I79
5275,6,6,6,5,6,5,4,5,4,4,2
16624,6,6,6,4,5,6,5,6,5,3,1
7940,5,1,5,5,5,2,2,5,5,4,4
56160,5,7,5,7,7,5,4,4,6,6,6
44502,6,6,6,6,6,6,6,6,6,1,1
11318,3,6,6,6,6,4,4,3,5,4,1
1438643,6,6,6,6,6,6,6,6,6,8,6
67987,1,1,2,1,1,4,3,6,2,6,5
1258037,4,4,5,5,5,5,6,5,4,1,5
98976,2,1,4,2,4,5,4,4,3,6,6
43108,2,5,3,7,5,3,4,6,5,3,2
1205174,8,6,6,6,6,6,6,6,4,4,1
1423128,6,3,6,6,8,6,4,6,6,5,2
10794,6,6,4,1,2,2,1,6,1,6,6
121093,1,6,6,1,6,6,6,6,6,6,1
1077555,6,6,6,6,6,6,6,6,6,6,6
96711,8,3,4,7,6,4,5,6,6,1,1
1454772,8,6,6,6,6,6,6,6,6,6,1
1283947,6,6,6,6,6,5,6,6,4,4,6
1083680,3,7,4,7,6,4,3,6,6,6,1
87936,6,1,4,2,3,3,3,5,1,6,6
121093,6,6,6,5,6,6,6,5,6,1,1
1438525,6,6,6,6,7,7,6,6,4,3,1
1115471,8,7,6,7,6,8,8,8,8,8,6
87510,3,1,5,7,7,7,7,7,6,1,6
12314,6,6,6,7,7,5,6,6,5,6,4
148,2,7,6,6,6,6,6,6,6,4,1
10597,6,1,5,2,2,2,3,6,6,6,1
1427352,7,5,4,7,8,6,2,5,6,1,1
1314982,7,6,6,5,8,5,5,6,6,1,1
1454772,1,1,6,8,6,6,5,6,6,1,1
121026,6,6,6,6,7,6,6,6,6,1,5
1445261,6,4,4,4,8,4,5,4,6,1,3
112000,6,6,6,6,6,6,6,1,6,8,8
1159868,6,3,6,7,4,5,5,3,4,3,5
128,1,4,4,6,8,1,1,6,2,6,6
15744,1,5,4,1,4,5,5,5,5,5,3
7497,6,1,3,1,6,6,3,1,1,6,6
111148,6,6,6,6,6,6,6,6,6,1,1
5317,3,3,4,4,4,4,4,4,4,4,4
47882,4,4,6,4,7,4,6,6,4,6,3
97992,6,6,6,6,6,6,6,6,6,6,6
121417,6,3,5,4,6,5,4,6,5,6,1
24932,6,7,4,7,7,3,3,5,6,4,1
100326,6,6,6,6,6,6,6,6,6,1,1
79764,6,6,6,7,6,6,4,6,4,4,6
7940,5,3,4,4,6,4,3,6,4,6,6
19938,6,6,6,6,5,6,6,4,6,1,1
68243,6,6,6,6,6,6,6,4,6,3,3
103332,6,3,5,3,2,4,3,4,5,1,1
67975,5,5,5,5,5,5,5,5,5,5,5
24980,6,6,6,6,6,5,5,6,6,5,4
58084,8,8,8,8,8,8,8,8,8,8,8
1172815,5,6,6,7,7,6,5,5,6,4,1
49725,5,2,2,5,6,4,4,5,2,6,5
27557,6,7,6,7,6,5,5,6,6,5,3
1314232,6,6,6,6,8,6,6,6,6,1,1
17876,5,4,4,3,4,3,3,3,5,3,1
1521612,5,5,6,5,5,5,5,6,5,6,6
21770,6,6,6,6,4,6,6,5,4,5,4
116504,6,6,6,6,6,6,6,6,6,6,6
97992,7,7,6,6,8,6,6,8,6,1,1
100326,6,6,5,5,5,6,6,6,6,8,1
99418,5,7,7,7,7,6,5,6,6,2,1
12349,4,7,4,5,7,3,4,2,4,2,1
1107828,2,1,3,2,1,3,3,5,5,2,2
52904,6,6,6,6,6,6,6,6,6,1,1
67018,6,6,6,6,6,6,6,6,1,6,1
103334,8,8,8,8,8,8,8,8,8,8,7
104404,4,4,3,3,1,3,3,4,1,6,6
1314232,7,6,6,7,6,6,6,6,6,6,7
92301,6,5,4,7,6,4,4,6,6,5,4
1045443,4,7,5,7,4,4,5,4,6,1,1
69766,1,1,1,1,8,1,1,6,4,6,6
1367187,6,6,6,6,7,6,6,5,5,2,1
84356,6,4,5,6,7,3,3,6,4,4,1
165,1,5,6,7,6,4,5,5,1,6,6
3482,6,2,3,4,3,2,2,6,2,6,6
3777,3,4,6,6,8,5,4,6,4,6,1
87802,8,4,5,8,8,5,5,4,5,1,1
1344181,1,1,3,2,5,4,4,4,5,2,6
85773,6,5,6,7,6,4,3,6,4,3,4
1258519,6,6,6,6,6,6,6,6,6,1,1
81038,6,6,6,6,6,6,6,6,6,8,8
1108283,6,6,6,7,6,6,6,6,6,1,1
40044,6,6,6,6,6,6,6,6,6,6,6
1190157,6,6,6,6,6,6,6,6,6,1,1
10597,6,6,3,6,6,6,6,3,1,6,6
2618,3,7,2,7,8,1,2,2,4,6,3
1170032,6,6,6,6,6,6,6,6,6,1,1
1292571,8,8,6,7,1,8,8,6,8,8,1
1321507,7,7,8,7,7,7,2,6,4,7,1
74659,6,6,6,6,6,6,6,6,6,1,1
1187334,6,5,4,5,5,6,4,1,4,3,5
1059803,6,4,5,5,4,6,6,5,5,6,1
121026,6,6,6,6,6,6,6,6,6,6,6
1185928,6,6,6,6,5,6,6,6,6,6,8
1439437,8,6,6,6,6,8,8,6,6,8,4
1427724,6,6,6,7,7,6,6,7,6,1,1
3484,3,4,4,4,3,4,3,6,4,5,6
120684,6,6,6,7,7,6,6,6,6,1,1
5000478,4,7,6,5,4,4,5,5,2,6,6
1385988,6,1,6,1,6,1,6,1,6,6,6
97980,4,4,1,4,5,4,4,2,4,1,1
1116776,6,6,6,6,6,6,6,6,6,6,6
13203,3,6,6,3,5,5,6,6,5,5,5
1185928,6,7,6,6,7,6,6,6,8,1,1
31662,4,5,5,5,6,5,5,5,6,6,5
13703,3,5,6,7,7,5,4,6,5,3,4
104728,6,6,6,6,6,6,6,6,6,1,1
1434956,6,1,3,6,8,1,1,4,3,3,6
80299,6,2,7,7,4,3,3,5,4,3,6
1138344,1,4,6,4,3,3,5,3,6,4,1
104434,6,6,6,6,6,6,6,6,6,1,1
100326,6,8,8,7,6,6,6,6,8,1,1
1114785,6,7,3,1,4,5,2,6,4,4,1
55600,6,6,6,6,6,6,6,6,6,1,6
7683,6,6,6,6,6,6,6,6,6,1,1
12571,6,5,6,5,3,4,2,5,4,4,2
75069,6,7,6,2,6,6,6,6,6,6,1
1193534,6,6,6,6,6,6,6,6,6,4,4
54866,6,6,6,6,6,6,6,6,6,6,8
